[3Fe-4S]+;[4Fe-4S]2+
120.1484;93.9301
120.0433;94.9675
120.1189;93.681
124.5732;94.6845
128.0605;92.6808
128.0369;94.0258
121.013;93.1254
123.2014;94.9477
126.8183;91.0234
122.0101;96.3664
123.4964;93.1313
126.5873;93.7478
122.005;91.2714
123.9269;92.8778
121.6631;94.4312
121.1059;95.6989
125.0352;94.6718
125.6592;93.8342
123.2957;93.543
126.5059;93.9307
122.3138;93.5555
126.9676;92.2238
119.9312;93.5661
126.0387;95.2993
122.7058;92.8111
120.2168;89.8354
121.8723;95.1059
122.8937;90.9618
118.7787;92.3487
119.8574;92.798
118.2859;93.7334
120.5518;95.3895
120.2597;91.8029
123.7555;92.6956
119.0378;95.8735
116.039;93.0598
120.9647;94.3729
120.3037;93.2154
124.1592;91.9423
122.6125;92.653
119.4892;93.9532
120.9184;92.3944
124.9718;92.7851
120.6616;93.6211
117.722;92.8056
119.348;91.8342
120.536;90.4578
117.1432;90.9018
122.4713;92.8146
122.4768;91.6841
114.5882;93.8337
118.6305;93.9765
120.491;92.6034
120.9978;95.0122
120.2313;92.2053
121.4779;90.0852
121.3212;93.8219
123.8266;91.5588
119.9624;89.4685
126.9168;93.6946
127.1188;94.0178
125.3492;92.1385
125.2433;88.4902
123.6165;92.2581
129.2465;90.1952
122.8675;92.762
123.4921;91.3073
125.2521;93.8604
125.186;94.3486
126.637;95.7186
129.994;94.1845
126.204;93.3044
122.5078;94.1517
124.6672;94.4922
120.9069;90.7631
126.2647;94.2031
122.4695;93.9737
123.7184;94.8625
122.5227;93.726
123.6989;92.1342
125.77;94.5723
121.1675;94.1018
123.3465;93.8577
124.7165;93.6953
118.0649;93.0566
122.4619;94.1208
121.3472;91.5602
119.6231;93.5406
118.3934;90.4305
125.6358;95.5147
124.0732;97.2544
126.3677;94.8542
120.1673;93.1514
122.5913;92.6417
127.3117;92.3572
125.6881;92.4515
117.3617;94.8662
122.2001;92.2959
121.4431;90.2564
126.054;90.7944
123.0905;89.713
124.6082;93.235
123.1585;93.9252
123.3379;94.2663
123.4419;92.6054
123.3585;94.5412
123.9588;93.9634
123.5091;91.3555
124.9115;94.9347
128.6774;92.0085
119.9724;94.2058
127.9308;94.1076
117.9262;94.8103
124.521;94.646
125.7621;91.3995
122.341;94.4697
118.1554;92.2596
120.0568;93.4591
125.4631;92.5179
123.1623;92.2211
126.0946;92.5042
120.8682;92.002
117.2134;90.9277
119.1081;91.5355
121.5522;92.4519
123.0879;90.5941
126.8184;93.7778
121.6306;89.7419
117.8207;93.0001
122.1685;91.5425
125.2361;91.3669
125.1336;89.2322
125.1287;92.4098
123.922;91.2102
122.711;91.0697
124.7143;94.6788
124.6457;91.8936
121.3713;90.605
